Date Times,Energy
Mon Jan 07 2013 06:00:00 GMT+1030 (Australian Central Daylight Time),-0.20488
Mon Jan 07 2013 06:30:00 GMT+1030 (Australian Central Daylight Time),0.12146
Mon Jan 07 2013 07:00:00 GMT+1030 (Australian Central Daylight Time),0.66477
Mon Jan 07 2013 07:30:00 GMT+1030 (Australian Central Daylight Time),1.1306
Mon Jan 07 2013 08:00:00 GMT+1030 (Australian Central Daylight Time),1.5193
Mon Jan 07 2013 08:30:00 GMT+1030 (Australian Central Daylight Time),2.1592
Mon Jan 07 2013 09:00:00 GMT+1030 (Australian Central Daylight Time),2.7601
Mon Jan 07 2013 09:30:00 GMT+1030 (Australian Central Daylight Time),2.8537
Mon Jan 07 2013 10:00:00 GMT+1030 (Australian Central Daylight Time),2.6024
Mon Jan 07 2013 10:30:00 GMT+1030 (Australian Central Daylight Time),2.7333
Mon Jan 07 2013 11:00:00 GMT+1030 (Australian Central Daylight Time),2.989
Mon Jan 07 2013 11:30:00 GMT+1030 (Australian Central Daylight Time),3.1018
Mon Jan 07 2013 12:00:00 GMT+1030 (Australian Central Daylight Time),2.9792
Mon Jan 07 2013 12:30:00 GMT+1030 (Australian Central Daylight Time),2.9894
Mon Jan 07 2013 13:00:00 GMT+1030 (Australian Central Daylight Time),3.0071
Mon Jan 07 2013 13:30:00 GMT+1030 (Australian Central Daylight Time),2.9575
Mon Jan 07 2013 14:00:00 GMT+1030 (Australian Central Daylight Time),2.5998
Mon Jan 07 2013 14:30:00 GMT+1030 (Australian Central Daylight Time),2.3449
Mon Jan 07 2013 15:00:00 GMT+1030 (Australian Central Daylight Time),2.1108
Mon Jan 07 2013 15:30:00 GMT+1030 (Australian Central Daylight Time),2.1612
Mon Jan 07 2013 16:00:00 GMT+1030 (Australian Central Daylight Time),1.0393
Mon Jan 07 2013 16:30:00 GMT+1030 (Australian Central Daylight Time),0.41779
Mon Jan 07 2013 17:00:00 GMT+1030 (Australian Central Daylight Time),-0.21913
